date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:09	296626/296626	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2009:11:52%20GMT	https://www.sat.gob.mx/personas/normatividad	C:/My%20Web%20Sites/phis/www.sat.gob.mx/personas/normatividad.html	(from https://www.sat.gob.mx/home)
23:28:09	91133/91133	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2006:59:11%20GMT	https://www.sat.gob.mx/personas/contacto	C:/My%20Web%20Sites/phis/www.sat.gob.mx/personas/contacto.html	(from https://www.sat.gob.mx/home)
23:28:10	470039/470039	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2009:00:17%20GMT	https://www.sat.gob.mx/personas/consultas-de-orientacion	C:/My%20Web%20Sites/phis/www.sat.gob.mx/personas/consultas-de-orientacion.html	(from https://www.sat.gob.mx/home)
23:28:10	99543/99543	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2009:08:10%20GMT	https://www.sat.gob.mx/personas/ayuda	C:/My%20Web%20Sites/phis/www.sat.gob.mx/personas/ayuda.html	(from https://www.sat.gob.mx/home)
23:28:10	71059/71059	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2013:58:10%20GMT	https://www.sat.gob.mx/personas/iniciar-sesion	C:/My%20Web%20Sites/phis/www.sat.gob.mx/personas/iniciar-sesion.html	(from https://www.sat.gob.mx/home)
23:28:10	406/406	---M--	200	added ('OK')	image/png	etag:%22196-546f46f127b40%22	https://www.sat.gob.mx/satys/img/menu_search.png	C:/My%20Web%20Sites/phis/www.sat.gob.mx/satys/img/menu_search.png	(from https://www.sat.gob.mx/home)
23:28:10	335394/335394	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2013:58:24%20GMT	https://www.sat.gob.mx/personas/declaraciones	C:/My%20Web%20Sites/phis/www.sat.gob.mx/personas/declaraciones.html	(from https://www.sat.gob.mx/home)
23:28:11	238846/238846	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2013:59:40%20GMT	https://www.sat.gob.mx/personas/factura-electronica	C:/My%20Web%20Sites/phis/www.sat.gob.mx/personas/factura-electronica.html	(from https://www.sat.gob.mx/home)
23:28:14	74032/74032	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2005:27:49%20GMT	https://www.sat.gob.mx/aplicacion/login/28889/obten-tu-cedula-de-identificacion-fiscal	C:/My%20Web%20Sites/phis/www.sat.gob.mx/aplicacion/login/28889/obten-tu-cedula-de-identificacion-fiscal.html	(from https://www.sat.gob.mx/home)
23:28:14	73199/73199	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2005:27:50%20GMT	https://www.sat.gob.mx/aplicacion/login/43824/reimprime-tus-acuses-del-rfc	C:/My%20Web%20Sites/phis/www.sat.gob.mx/aplicacion/login/43824/reimprime-tus-acuses-del-rfc.html	(from https://www.sat.gob.mx/home)
23:28:14	75983/75983	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2005:27:50%20GMT	https://www.sat.gob.mx/tramites/operacion/29903/inscribe-a-tus-trabajadores-en-el-rfc	C:/My%20Web%20Sites/phis/www.sat.gob.mx/tramites/operacion/29903/inscribe-a-tus-trabajadores-en-el-rfc.html	(from https://www.sat.gob.mx/home)
23:28:14	335114/335114	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2013:58:36%20GMT	https://www.sat.gob.mx/personas/tramites-del-rfc	C:/My%20Web%20Sites/phis/www.sat.gob.mx/personas/tramites-del-rfc.html	(from https://www.sat.gob.mx/home)
23:28:14	116886/116886	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2005:27:50%20GMT	https://www.sat.gob.mx/tramites/28753/obten-tu-rfc-con-la-clave-unica-de-registro-de-poblacion-curp	C:/My%20Web%20Sites/phis/www.sat.gob.mx/tramites/28753/obten-tu-rfc-con-la-clave-unica-de-registro-de-poblacion-curp.html	(from https://www.sat.gob.mx/home)
